CustomerID,CustomerName,CustomerEmail
CU001,Sharon Pineda,cookmichele@hotmail.com
CU002,Bobby Shelton,dorseymiguel@gmail.com
CU003,Matthew Torres,mariaharper@brooks.com
CU004,Michelle Johnston,david22@stevens.biz
CU005,Lindsey Krause,christopherwest@anderson.com
CU006,Mitchell Cole,gina16@ortiz.biz
CU007,Denise Wise,danbradshaw@hotmail.com
CU008,Derek Christian,brianlee@daniels.com
CU009,Barry Lawson,stephaniewise@cruz-higgins.biz
CU010,Benjamin Hardy,hallnatalie@perez-bryant.net
CU011,Joseph Hall,walkerdavid@woodward.com
CU012,Matthew Rivera,qmathis@gmail.com
CU013,Amanda Rios,tharper@roth.com
CU014,Karen Cole,cpeters@mitchell.net
CU015,Karen Klein,evansjimmy@hotmail.com
CU016,Karen Francis,pittmanjeanette@yahoo.com
CU017,Brandi Keith,jennifer31@gmail.com
CU018,Stephanie Clarke,williamsjerry@sharp.com
CU019,Craig Reyes,kwilkinson@yahoo.com
CU020,Michael Odom,walleramy@mcdonald.com
CU021,Joe Mullins,pdelgado@hotmail.com
CU022,Brian Holmes,jeremydiaz@brown.com
CU023,Gabrielle Brooks,melissaleblanc@yahoo.com
CU024,Scott Jenkins,ashleylyons@smith.org
CU025,Cindy Wade,john77@holmes.info
CU026,Steven Smith,lyonsleah@adams-irwin.com
CU027,David Wise,christophermack@young.com
CU028,Darryl Cohen,fgarrett@hopkins-bennett.com
CU029,Chelsea Anderson,hensonemily@mitchell.com
CU030,Anna Noble,kphillips@caldwell.com
